type,kalimat
2,Lebih mudah mempelajari dengan membaca buku dan catatan yang diberikan secara jelas dan rapi
0,"Ketika pertama kali menghubungi orang baru, saya biasanya berbicara lewat telepon"
0,"Ketika saya belajar untuk ujian, saya biasanya membaca catatan sendiri, atau berdiskusi dengan orang lain"
0,"Mungkin tidak cocok dengan warna atau pakaian, tetapi dapat menjelaskan mengapa saya mengenakan apa yang saya kenakan dan mengapa"
1,Mendiskusikan atau merekam prestasi yang telah dicapai
1,"Saya lebih senang menggunakan poster, alat peraga atau praktek langsung dan aktivitas lainnya dalam kelas"
0,"Ketika guru mengajar di kelas, saya selalu mendengarkan dengan seksama"
2,Saya senang membaca ringkasan buku terlebih dahulu sebelum membaca lebih detail
2,"Ketika mengoprasikan peralatan baru, saya biasanya membaca buku petunjuk"
1,"Berpartisipasi dalam aktivitas yang melibatkan menyentuh, membangun, bergerak, atau menggambar."
2,"Ketika saya mendengarkan sebuah band, saya tidak dapat menahan diri untuk tidak melihat anggota band dan penonton lainnya."
0,Saat menjelaskan dan mengajarkan sesuatu kepada orang lain saya cenderung dengan cara menceritakannya terlebih dahulu
2,"Dalam pekerjaan, saya adalah perencana dan pengatur jangka panjang yang baik"
1,Ingatan pertama saya adalah melakukan sesuatu.
0,"Saat saya marah, saya berteriak atau “meledak”"
1,"Ketika mengoprasikan peralatan baru, saya biasanya langsung mencoba, karena saya baru mengerti ketika menggunakannya"
1,"Ketika berbelanja pakaian, saya cenderung langsung mencoba baju yang disukai"
1,"Ketika saya berkonsentrasi, saya paling sering bergerak, mengutak-atik pulpen dan pensil, dan menyentuh benda."
2,"Ketika saya berkonsentrasi, saya paling sering fokus pada kata-kata atau gambar di depan saya."
1,Mengetuk kaki saya atau bergerak dengan cara lain saat mengantri di bioskop adalah hal yang saya lakukan
2,"Dapat belajar baik dengan diiringi musik maupun tidak, karena saya tidak terlalu peduli dengan stimuli auditori di sekeliling"
2,"Perlu mengingat setiap detail, menulis pointpoint yang penting, membuat gambaran sekilas pada materi yang akan atau sudah dipelajari"
0,Duduk di ruang kuliah atau ruang kelas di mana saya dapat mendengar dengan baik (paling sering di dekat bagian depan).
1,"Senang belajar dengan alat bantu untuk mendemonstrasikan. Semakin banyak melakukannya, semakin banyak belajar."
0,Saya dapat menyebutkan jika suatu suara cocok dengan suara lainnya bila ditampilkan bersamaan
2,sambil mencoret-coret kertas
0,Lebih menempatkan pendengaran sebagai alat utama menyerap informasi atau pengetahuan
0,Menghubungkan materi dengan irama musik
0,"Ketika saya mendengarkan sebuah band, saya lebih fokus mendengarkan lirik dan musiknya."
0,"Saya cenderung berkata ""dengarkan penjelasan saya"""
0,"Merekam catatan ringkasan saya, dan dengarkan."
1,"Ketika saya belajar keahlian baru, saya lebih nyaman jika langsung mencobanya sendiri"
0,Menjelaskan catatan saya kepada orang lain.
2,Mementingkan penampilan dalam berpakaian maupun presentasi
0,Mendengarkan dengan seksama
1,Saya membaca dengan menggunakan jari tangan sebagai petunjuk
1,Saya mengisi waktu luang dengan melakukan permainan dan jenis pekerjaan tangan yang lain
2,Lebih suka demonstrasi daripada berpidato
0,Cara bekerja sambil berbicara dan mampu menirukan perubahan suara
0,Saya benar-benar bisa mengerti apa yang Anda katakan.
2,"Itu tampak bagus, Saya melihatnya dari sudut ini"
1,"Memiliki preferensi untuk pengalaman fisik - menyentuh, merasakan, memegang, melakukan, pengalaman praktis langsung."
2,"Ketika memilih liburan, saya biasanya membaca banyak brosur"
2,"Jika saya menjelaskan kepada seseorang, saya lebih mudah menunjukkan kepada mereka apa yang saya maksud"
2,Sebagian besar waktu luang saya diisi dengan menonton televisi
2,Saya dapat mengetahui suasana hati seseorang dengan hanya melihat ekspresi wajah
0,Gagasan itu terus berputar-putar di kepala saya.
0,Cara berkomunikasi senang lewat telepon
0,Saya senang ujian lisan daripada ujian tertulis
2,Saya dapat memahami sebuah artikel berita dengan lebih baik dengan membacanya di koran atau online daripada dengan mendengarkan laporan tentang artikel tersebut di radio atau internet.
0,"Jika saya harus mengeluh tentang barang yang rusak, saya lebih nyaman untuk mengeluh melalui telepon"
0,"Saya membutuhkan diagram, grafik atau petunjuk arah untuk menjelaskan sesuatu."
2,Saya mempunyai buku kecil untuk mencatat informasi/pesan-pesan penting
1,Bertindak sangat hiper adalah hal yang paling mungkin yang saya lakukan saat saya bahagia
2,Saya bisa secara mudah memahami dan mengikuti petunjuk arah pada peta
1,Saya akan langsung mencoba sendiri terlebih dahulu saat menggunakan program komputer yang belum saya kuasai
1,"Saya mengunyah permen karet, merokok, atau ngemil saat belajar."
0,"Ketika membeli mobil baru, saya mendiskusikan apa yang saya butuhkan dengan teman"
2,Mempercepat proses belajar dengan alat bantu visual seperti grafik dan gambar
2,Saya belajar dengan cara membaca buku
2,Saya dapat memahami artikel berita lebih baik dengan cara membacanya daripada mendengarkan berita tersebut di radio.
2,Membuat banyak simbol dan gambar dalam catatan saya
0,"Terlibat dalam percakapan dengan seseorang untuk mengartikulasikan dan menjelaskan ide-ide, memperkuat pemahaman saya melalui komunikasi verbal."
1,Saya sering membantu penelitia yang dilakukan oleh guru
0,Saya sering mengajak guru maupun teman untuk berdiskusi
1,"Melibatkan semua indera saya, termasuk penglihatan, sentuhan, rasa, penciuman, dan pendengaran, untuk membenamkan diri sepenuhnya dalam pengalaman belajar."
2,Lupa namanya tapi ingat wajahnya
1,"Jika saya harus mengeluh tentang barang yang rusak, saya merasa nyaman untuk mengembalikan barang tersebut ke toko atau mengirimkannya ke kantor pusat"
1,Fakta yang harus dipelajari harus ditulis beberapa kali.
1,Mempraktikkan permainan peran.
0,Sering menggunakan frasa seperti 'beri tahu saya' atau 'mari kita bicarakan'.
1,Cara saya mengerjakan pekerjaan adalah dengan mencari tahu sambil bekerja
0,Saya mengikuti petunjuk lisan lebih baik daripada petunjuk tertulis.
1,Saya senang praktik di laboratorium daripada belajar di kelas
2,Hal yang paling mungkin yang saya lakukan saat mengantri di bioskop yaitu melihat poster yang mengiklankan film lain
0,"Mendengarkan kuliah, contoh, dan cerita serta mengulang informasi"
1,mengekspresikan tangan saya dan dengan gerakan
0,Membahas soal ulangan bersama
2,Saya senang membayangkan sesuatu
1,Konsentrasi saya mudah terganggu dengan kegiatan sekeliling
0,Berteriak atau “meledak” adalah hal yang paling mungkin yang saya lakukan saat saya marah
2,"Terapkan teknik pengkodean warna untuk mengkategorikan dan mengatur informasi, memberikan isyarat visual dan meningkatkan daya ingat."
2,Membuat gambar/alat bantu visual
2,Saya sering mengisi waktu luang dengan menonton TV/Film
2,Saya senang untuk menulis atau mencatat sesuatu untuk dapat dilihat ulang.
0,"Ketika memilih liburan, saya biasanya mendengarkan rekomendasi dari teman"
0,Mengandalkan penjelasan dari guru
0,Mudah terganggu oleh keributan
2,Hal yang paling mudah mengganggu konsentrasi saya yaitu ketidakteraturan
0,Melalui teknik manual dan pedoman instruksional yang dibaca
2,"Ketika sebuah band didengarkan oleh saya, anggota band dan penonton lainnya tidak dapat tidak dilihat oleh saya."
2,"Di dalam kelas, saya sering duduk di bangku paling depan"
0,Tipe ini tidak peduli pada simbol dan bahasa yang abstrak
2,Senang menggunakan powerpoint
1,"Saat saya bahagia, saya bertindak sangat hiper"
1,"Ketika saya membutuhkan petunjuk jalan saat bepergian, saya biasanya berjalan sekehendak hati atau menggunakan kompas"
0,"Ketika saya cemas, saya berbicara di kepala saya atau dengan seorang teman tentang apa yang paling membuat saya khawatir."
2,Saya suka meneliti
0,Semuanya tiba-tiba terasa pas.
0,"Informasi yang saya dengar memiliki nilai lebih besar bagi saya dibandingkan dengan kata-kata tertulis, karena masukan pendengaran beresonansi lebih kuat."
1,Harus aktif dan sering istirahat
1,Melakukan permainan dan jenis pekerjaan tangan yang lain
2,"Ketika keterampilan baru dipelajari oleh saya, apa yang dilakukan instruktur akan paling nyaman dilihat oleh saya."
0,Lupa wajahnya tapi ingat namanya
2,Saya akan melihat petunjuk gambar dan diagram yang ada terlebih dahulu saat menggunakan program komputer yang belum saya kuasai
2,Ingatan pertama saya yaitu saat melihat sesuatu.
2,"Jika saya mengajarkan atau menunjukkan sesuatu yang baru kepada seseorang, saya cenderung menuliskan instruksi untuk mereka"
1,Saya mendengarkan orang berbicara sambil menggerakkan jari tangan/kaki
0,Merekam suara
0,"Jika saya menjelaskan kepada seseorang, saya lebih nyaman menjelaskan kepada mereka dengan cara yang berbeda sampai mereka mengerti"
1,"Belajar secara “ Trial and error”, eksplorasi dan mencoba menentukan hal-hal baru"
0,Menyukai materi dalam bentuk auditori melalui penjelasan dan diskusi
2,Cenderung duduk di depan
0,Saya belajar dengan cara mendengarkan penjelasan
2,"Saat berupaya memecahkan masalah, membuat daftar, mengatur langkah-langkah, dan mencentang setelah selesai"
2,Mengganti kata dengan simbol atau inisial untuk membuat sistem steno yang membantu dalam menghafal dan mengingat.
2,"Saat sesuatu dilihat, itu menjadi ingatan pertama oleh saya."
1,"Jenis seni yang paling saya suka yaitu seni gerak atau olah raga, dll"
1,"Ketika saya berkonsentrasi, saya paling sering bergerak, mengutak-atik pulpen dan pensil, dan menyentuh benda."
1,"Belajar dengan gerakan yang tidak terstruktur, imajinatif dan bebas"
0,Perhatikan dirimu sendiri.
0,Saya dapat menguasai materi belajar dengan cara mendengarkan atau merekam kuliah pakar.
2,Lebih memilih rangsangan untuk diisolasi dari gangguan pendengaran dan kinestetik
2,"Buat catatan dengan menuliskan kata-kata kunci, ide, atau instruksi, memanfaatkan aspek visual dari kata-kata tertulis untuk memperkuat pembelajaran."
2,"Ketika memasak menu baru, saya lebih suka membaca resep"
1,"Ketika saya belajar untuk ujian, saya lebih suka menuliskannya di kartu indeks dan membuat model atau diagram"
1,"Ketika memilih liburan, saya biasanya membayangkan akan seperti apa liburan di sana"
1,Ingatan pertama saya adalah melakukan sesuatu.
2,Saya sering membaca buku sambil menandai bagian yang penting dengan memberi warna yang mencolok
1,Menghafal sambil berjalan-jalan
2,"Melihat kembali sekarang, tampaknya itu berbeda."
0,Berbicara dengan orang di sebelah saya saat mengantri di bioskop adalah hal yang paling saya sukai
2,Di ruang belajar saya terdapat pajangan gambar-gambar yang berkaitan dengan pelajaran biologi
1,Kemungkinan tulisannya jelek
0,Sering menciptakan lagu pada beberapa materi pelajarannya
0,Saya akan bertanya kepada orang lain terlebih dahulu saat menggunakan program komputer yang belum saya kuasai
1,Menyukai belajar melalui gerakan dan paling baik menghafal informasi dengan mengasosiasikan gerakan dengan setiap fakta.
2,Cara bekerja sambil mencari tahu dan pandai menyusun potongan gambar
2,"Saat saya marah, saya cemberut"
1,"Kebiasaan saya saat mendengarkan orang lain berbicara yaitu menggerak-gerakkan anggota tubuh, misalnya tangan/kaki"
0,Saya menikmati waktu luang dengan mendengarkan musik dan mengobrol dengan teman
2,"Setelah mendengarkan penjelasan dosen, saya sering membuat peta konsep"
2,Saat menjelaskan dan mengajarkan sesuatu kepada orang lain saya cenderung dengan cara menunjukkannya terlebih dahulu
0,"Meningkatkan daya ingat saya dengan mengucapkan dengan lantang apa yang telah saya pelajari atau pesan yang telah saya terima, dengan memanfaatkan penguatan pendengaran."
1,"Mengetuk pensil, menggoyangkan kaki, atau berpegangan pada sesuatu saat belajar."
0,"Senang diberi instruksi lisan melalui telepon, dan dapat mengingat semua kata dari lagu yang saya dengar"
0,Berteriak dengan gembira adalah hal yang paling mungkin yang saya lakukan saat saya bahagia
1,"Menyoroti, menggarisbawahi, memberi label informasi, dan menulis menambah gerakan untuk belajar."
2,Saya senang mempelajari tabel dan grafik
1,"Saat saya mempelajari keterampilan baru, saya paling nyaman mencobanya sendiri, dan menyelesaikannya sambil jalan."
1,"Jika saya harus mengeluh tentang barang yang rusak, saya merasa nyaman untuk mengembalikan barang tersebut ke toko atau mengirimkannya ke kantor pusat"
0,Kemungkinan besar saya akan merasa terdorong untuk berbagi informasi ini dengan seseorang.Mengungkapkan antusiasme saya terhadap materi pelajaran melalui komunikasi verbal.
0,Duduk di mana saja yang penting saya bisa mendengar tetapi tidak perlu memperhatikan apa yang terjadi di depan
1,Saya memegang benda di tangan saya selama periode belajar.
1,Hubungi diri Anda sendiri.
2,Berlatih memvisualisasikan atau menggambarkan kata-kata dan konsep dalam pikiran saya.
1,Saya dapat mengetahui suasana hati seseorang dengan memerhatikan gerakan badan
1,Saya menikmati bekerja dengan dengan menggunakan tangan atau membuat sesuatu
0,"Ketika saya mempelajari keterampilan baru, saya merasa lebih nyaman berbicara dengan instruktur tentang apa yang seharusnya saya lakukan."
0,"Ketika saya belajar untuk ujian, saya lebih suka seseorang mengajukan pertanyaan, atau mengulangi fakta secara diam-diam kepada diri sendiri."
0,Mengandalkan ceramah dari guru
0,Kebiasaan saya saat dalam berbicara yaitu senang mendengarkan pembicaraan panjang
0,Saya senang menceritakan saat menjelaskan atau mengajarkan sesuatu
1,Saya lebih mudah mengingat sesuatu dengan cara menuliskannya berkali-kali
0,Saya cenderung mengatakan saya sulit mendengar apa yang Anda katakan
2,Sangat terjadwal dan disiplin waktu
1,"Saya merasa sangat nyaman menyentuh pelukan orang lain, berjabat tangan, dll."
2,Membuat banyak catatan rinci
2,"Memperkuat pengetahuan dengan menulis jawaban atau catatan ujian, menggunakan kata-kata tertulis untuk mengartikulasikan dan menjelaskan materi pelajaran."
2,"Meninjau dan proses informasi secara teratur dengan mengunjungi kembali halaman saya, memperkuat pemahaman dan memantapkan pengetahuan dalam pikiran saya."
1,Saya lebih sering membuat keputusan berdasarkan perasaan
1,Saya dapat mengingat dengan baik dengan menuliskan beberapa kali.
2,"Dalam matematika dan ilmu pengetahuan alam, tabel dan grafik akan memperdalam pemahaman saya"
2,"Ketika saya berkonsentrasi, saya biasanya fokus pada kata-kata atau gambar yang ada di depan saya"
0,Saya belajar untuk mengeja sesuatu lebih baik dengan mengulang kata-kata dengan keras daripada menulis kata-kata tersebut di atas kertas.
0,Menyerap makna komunikasi verbal dengan cepat
1,"Ketika mencoba hal yang baru, saya senang langsung mencobanya"
2,"Saat saya mempelajari keterampilan baru, saya paling nyaman melihat apa yang dilakukan instruktur."
1,"Melakukan banyak aktivitas langsung seperti menyelesaikan proyek seni, berjalan-jalan, atau memerankan cerita."
2,"Guru yang menggunakan gerak tubuh dan bahasa yang indah dapat menarik perhatian, menyampaikan emosi, dan membuat materi lebih menarik dan berkesan bagi audiens."
0,Saya lebih suka menghafal dengan mengucapkannya keras-keras
0,Saya dapat mengetahui apakah suara cocok ketika disajikan dengan pasangan suara.
2,"Memiliki preferensi untuk melihat atau mengamati hal-hal, termasuk gambar, diagram, demonstrasi, display, handout, film, flip-chart, dll."
2,Saya memperhatikan orang karena baju dan penampilannya
0,"Saya dapat mengulang dan menirukan nada, perubahan, dan warna suara"
0,"Ketika saya mempelajari keterampilan baru, saya merasa paling nyaman berbicara dengan instruktur tentang apa yang seharusnya saya lakukan."
1,Saya memiliki pemahaman yang kuat.
2,"Memilih untuk duduk di dekat bagian depan kelas, memungkinkan visibilitas dan keterlibatan yang lebih baik dengan alat bantu visual tanpa implikasi favoritisme."
2,Hal-hal terbaik diingat oleh saya dengan menulis catatan atau menyimpan detail tercetak.
0,"Membaca dengan suara keras, suara pelan atau membaca dalam hati"
0,Dapat memanfaatkan sesi belajar kelompok di mana anggota meninjau materi kelas.
1,Senang dan berani mencoba-coba
2,"Saat saya belajar untuk ujian, saya lebih suka membaca catatan, membaca judul buku, dan melihat diagram dan ilustrasi."
2,"Ketika saya mendengarkan sebuah band, saya lebih ingin melihat anggota band dan penonton lainnya."
2,"Saat saya mempelajari keterampilan baru, saya lebih nyaman melihat apa yang dilakukan instruktur."
0,Ada sesuatu yang menyuruh saya untuk berhati-hati.
2,Gangguan visual sangat menganggu saya ketika saya mencoba untuk berkonsentrasi
1,"Menggerak-gerakkan anggota tubuh, misalnya tangan/kaki"
1,Pahami itu dengan baik.
2,Saya lebih mudah belajar dengan membaca
0,"Ketika saya hendak memilih makanan yang tertera di daftar menu, saya cenderung membicarakan pilihan saya dengan teman atau dalam hati"
0,"Memiliki preferensi untuk mentransfer informasi melalui mendengarkan kata yang diucapkan, diri sendiri atau orang lain, suara dan kebisingan."
1,"Ketika saya mengajari seseorang hal yang baru, saya cenderung mendemonstrasikan dan membiarkan dia mencobanya"
0,Saya selalu bertanya pada orang lain hal yang belum saya pahami
2,"Berlatih menerjemahkan representasi visual saya kembali ke dalam kata-kata, memastikan dapat mengomunikasikan informasi secara efektif dalam format visual dan tertulis."
2,Saya sering membaca buku sebelum dan setelah pelajaran berlangsung
1,"Sering beristirahat selama periode membaca atau belajar (sering, tetapi tidak lama)."
2,Menantang diri dengan menggambar ulang halaman saya dari memori untuk memperkuat informasi dan menguji pemahaman saya.
1,"Belajar secara “Trial and error”, eksplorasi dan mencoba menentukan hal-hal baru"
2,Saya lebih suka melihat informasi tertulis di papan tulis dan dilengkapi dengan alat bantu visual dan bacaan yang ditugaskan
0,"Jika saya memilih makanan dari menu, saya cenderung membicarakan pilihan di kepala saya atau dengan teman."
0,"Saya memiliki kemampuan dalam menirukan, mengulang nada dan perubahan suara"
0,Ingatan pertama saya adalah tentang diajak bicara.
1,Saya mudah mengingat dengan menuliskan berkali-kali
2,Cara berkomunikasi memperhatikan gerakan badan
0,"Saat saya belajar untuk ujian, saya lebih suka seseorang mengajukan pertanyaan, atau mengulangi fakta secara diam-diam kepada diri sendiri."
0,"Saat saya bahagia, saya berteriak dengan gembira"
0,"Menggunakan kalimat-kalimat yang singkat, dengan diiringi musik atau sound effect, disertai dengan contoh alur pikir, objek nyata atau demonstrasi"
1,Tidak tahan duduk lama-lama atau cepat bosan.
0,Saya suka berdiskusi masalah pelajaran dengan teman
0,"Ketika saya mengajari seseorang hal yang baru, saya cenderung memberikan penjelasan"
0,Saya mengikuti petunjuk secara lisan lebih baik daripada menulisnya
0,Saya mengerjakan pekerjaan sambil berbicara dengan orang lain atau berbicara sendiri
2,Meningkatkan pemahaman tentang konsep baru dengan menggambar gambar yang mengilustrasikannya
2,Senang membaca
0,Kebiasaan saya saat mendengarkan orang lain berbicara yaitu mendengarkan dengan seksama
2,"Saat belajar untuk ujian, catatan dibaca, judul buku dibaca, dan diagram serta ilustrasi yang lebih saya sukai."
1,Saya menghafal dengan menuliskan informasi berkali-kali
1,Manfaatkan gambar dan foto untuk mengilustrasikan dan memperkuat ide dan konsep secara visual.
1,Hal yang paling mudah mengganggu konsentrasi saya yaitu kegiatan di sekeliling
2,Saya bingung tentang itu.
0,Terlibat dalam presentasi atau webinar dan berpartisipasi aktif dalam diskusi dengan orang lain untuk menyerap pengetahuan baru dan mendapatkan perspektif yang berbeda.
2,Saya lebih mudah mengingat sesuatu yang berupa informasi tertulis/apa yang saya lihat daripada apa yang saya dengar
2,"Menambahkan simbol, warna, dan grafik yang bermakna ke catatan juga memberikan isyarat visual."
0,Saya senang mendengarkan orang bercerita
1,"Saya lebih suka belajar dengan praktek dan saat membaca, saya sering menggunakan jari sebagai penunjuk"
1,Terlibat dalam permainan peran untuk membenamkan diri saya dalam situasi tersebut dan mendapatkan pemahaman yang lebih dalam tentang informasi tersebut.
2,"Jika saya memilih makanan dari menu, saya cenderung membayangkan seperti apa makanan itu nantinya."
2,Senang belajar dengan membaca
2,"Saat saya bahagia, saya tersenyum lebar"
0,Saya belajar mengeja lebih baik dengan mengulangi kata-kata dengan keras daripada menulis kata-kata di atas kertas.
0,"Jika saya menjelaskan kepada seseorang, saya cenderung menjelaskan kepada mereka dengan cara yang berbeda sampai mereka mengerti"
1,Ubah sudut pandangmu.
2,Menulis semuanya untuk tinjauan yang sering dan efisien.
2,Mengingat setiap objek yang saya lihat dalam kehidupan nyata
1,Mengetuk kaki saya atau bergerak dengan cara lain saat mengantri di bioskop adalah hal yang saya lakukan
2,Saya menjelaskan dan mengajar dengan cara menunjukkan suatu hal
0,Menghubungkan kata dan angka-angka dengan musik
2,Demonstrasi
1,Saya cenderung mengatakan saya mengerti bagaimana perasaan Anda sebenarnya
2,Pola mengingat melalui informasi tertulis/membaca
1,Sulit mengingat peta kecuali jika dirinya pernah berada di tempat itu
2,Saya lebih menyukai mendapatkan informasi tentang hal yang saya senangi dengan membacanya
0,Cara belajar yang paling saya suka yaitu mendengar
0,"Pelajari materi baru dengan membacanya keras-keras, manfaatkan kekuatan verbalisasi informasi untuk memperkuat pembelajaran auditori."
2,Meminta instruktur untuk memilih point-point yang penting dan menuliskannya di papan tulis
2,Kegiatan yang lebih disukai adalah demonstrasi
1,Selalu berorientasi pada fisik dan banyak bergerak
0,Berbicara kepada diri sendiri saat bekerja
2,"Ketika saya berkonsentrasi, saya lebih fokus pada kata-kata atau gambar di depan saya."
0,"Saat membaca buku, saya senang dengan dengan cara membacanya keras-keras"
1,Saya memperhatikan orang karena cara dia berjalan dan bergerak
